first_name,year_symposium,location_symposium,final_gender,invited
Joanne,1999,St Andrews,female,No
Joao,2024,Bilbao,male,No
Joao,2022,Nottingham,male,No
Job,2009,Leicester,male,No
Jobby,2025,Belfast,male,No
Jochen,2021,Leuven,male,No
Joep,2018,UEA,male,No
Johan,1990,Lancaster,male,No
Johan,2016,Bangor,male,No
Johann,2016,Bangor,male,No
John,2025,Belfast,male,No
John,1999,St Andrews,male,No
John,1993,Conwy,male,No
John,2014,Hull,male,No
John,2016,Bangor,male,Yes
John,2023,Essex,male,No
John,1993,Conwy,male,Yes
John,2018,UEA,male,No
John,2023,Essex,male,No
John,2016,Bangor,male,No
John,2016,Bangor,male,No
John,2017,Exeter,male,No
John,2022,Nottingham,male,Yes
John,1970,London,male,No
John,2014,Hull,male,No
John,2017,Exeter,male,No
John,2024,Bilbao,male,No
John,1990,Lancaster,male,No
John,1987,Plymouth,male,No
John,1968,London,male,No
John,2017,Exeter,male,No
Jon,1999,St Andrews,male,No
Jonathan,2025,Belfast,male,No
Jonathan,2015,Plymouth,male,No
Jonathan,2023,Essex,male,No
Jonathan,2023,Essex,male,No
Jonathan,2018,UEA,male,No
Jonathan,2025,Belfast,male,No
Jonathan,2014,Hull,male,No
Jonathan,2016,Bangor,male,No
Joon Yeong ,1999,St Andrews,male,No
Joost,2009,Leicester,male,No
Joost,2009,Leicester,male,No
Jordan,2025,Belfast,male,No
Jordi,2024,Bilbao,male,No
Jorge,1999,St Andrews,male,No
Jorgen,2014,Hull,male,Yes
Jorgen,2012,UEA,male,No
Joris,2025,Belfast,male,No
Joris,2022,Nottingham,male,No
Jos,1993,Conwy,male,No
Josef,1999,St Andrews,male,No
Josefin,2022,Nottingham,female,Yes
Joseph,2019,Hull,male,No
Joseph,2021,Leuven,male,No
Joseph,2023,Essex,male,No
Joseph,2018,UEA,male,No
Josephine,2021,Leuven,female,No
Josephine,2025,Belfast,female,No
Josh,2022,Nottingham,male,No
Joshka,2021,Leuven,male,No
Joshka,2017,Exeter,male,No
Joshka,2024,Bilbao,male,No
Joshua,2015,Plymouth,male,No
Josie,2017,Exeter,female,No
Josie,2021,Leuven,female,No
Json,2025,Belfast,male,No
Judith,2016,Bangor,female,No
Judith,2015,Plymouth,female,No
Julia,2015,Plymouth,female,Yes
Julian,1993,Conwy,male,No
Julien,2021,Leuven,male,No
Juliet,2018,UEA,female,No
Jun,1999,St Andrews,male,No
Jun,2009,Leicester,male,No
Jung,2018,UEA,male,No
Jung,2025,Belfast,male,No
Juraj,1990,Lancaster,male,No
Jussi,1999,St Andrews,female,No
Justas,2022,Nottingham,male,No
Justin,2017,Exeter,male,No
Justine,2016,Bangor,female,No
Justing,2009,Leicester,male,No
Kai,2014,Hull,male,Yes
Kanji,1999,St Andrews,male,No
Karen,1999,St Andrews,female,No
Karen,2021,Leuven,female,No
Karen,1999,St Andrews,female,No
Karina,2022,Nottingham,female,No
Karine,1999,St Andrews,female,No
Kat,2019,Hull,female,No
Kate,2017,Exeter,female,No
Kate,2018,UEA,female,No
Kate,2017,Exeter,female,No
Katherine,2012,UEA,female,Yes
Kathryn,1999,St Andrews,female,No
Kathy,2015,Plymouth,female,No
Katie,2015,Plymouth,female,No
Katie,2009,Leicester,female,No
Katie,2017,Exeter,female,No
Katie,2015,Plymouth,female,No
Katie,2018,UEA,female,No
Katie,2023,Essex,female,No
Katie,2018,UEA,female,No
Katja,2017,Exeter,female,No
Katja,2024,Bilbao,female,No
Kaushik,1983,Stirling,male,No
Kaushik,1983,Stirling,male,No
Keith,1999,St Andrews,male,No
Ken,1971,London Spring,male,No
Kennedy,2018,UEA,female,No
Kenneth,1999,St Andrews,male,No
Kenneth,1968,London,male,No
Kerry,1993,Conwy,female,No
Kerry,2024,Bilbao,female,Yes
Kevin,2015,Plymouth,male,Yes
Kevin,2009,Leicester,male,No
Kevin,2025,Belfast,male,No
Kieran,2018,UEA,male,No
Kieran,2018,UEA,male,No
Kieran,2023,Essex,male,No
Kim,2017,Exeter,female,No
Kim,2015,Plymouth,female,No
Kimmo,2017,Exeter,male,No
Kirsty,2025,Belfast,female,No
Kirsty,2015,Plymouth,female,No
Kirsty,2023,Essex,female,No
Kirthana,2021,Leuven,female,No
Kirthana,2019,Hull,female,No
Kitty,2022,Nottingham,female,No
Kjartan,2009,Leicester,male,No
Klara,2015,Plymouth,female,No
Konrad,2024,Bilbao,male,No
Krista,2017,Exeter,female,No
Kristi,2022,Nottingham,female,No
Kristin,2009,Leicester,female,No
Kristine,2017,Exeter,female,No
Kristy,2019,Hull,female,Yes
Krtistine,2016,Bangor,female,No
Larry,2017,Exeter,male,No
Lars,2012,UEA,male,Yes
Laura,2014,Hull,female,No
Lauran,2015,Plymouth,female,No
Lauren,2017,Exeter,female,No
Lauren,2023,Essex,female,No
Lauren,1999,St Andrews,female,No
Leanne,2023,Essex,female,No
Lee,2023,Essex,male,No
Lee,1999,St Andrews,male,Yes
Lengxob,2017,Exeter,male,No
Leon,2009,Leicester,male,No
Lesley,2012,UEA,female,No
Lewis,2018,UEA,male,No
Like,2025,Belfast,male,No
Like,2023,Essex,male,No
Lilian,2015,Plymouth,female,No
Lilian,2016,Bangor,female,No
Lina,2021,Leuven,female,No
Linda,2009,Leicester,female,No
Linda,2009,Leicester,female,No
Lindsay,1982,London,female,No
Line,2012,UEA,female,No
Lisette,2024,Bilbao,female,No
Lorenz,2024,Bilbao,male,No
Lorenzo,1999,St Andrews,male,No
Lori,2019,Hull,female,No
Louis,2019,Hull,male,No
Louis,2016,Bangor,male,Yes
Louise,2017,Exeter,female,No
Luca,2023,Essex,male,No
Luciano,2016,Bangor,male,No
Lucie,2017,Exeter,female,No
Lucilia,2024,Bilbao,female,No
Lucio,2019,Hull,male,No
Lucy,2018,UEA,female,No
Lucy,2025,Belfast,female,No
Luke,2017,Exeter,male,No
Luz,2018,UEA,female,No
Lydie,2015,Plymouth,female,No
Lynda,1999,St Andrews,female,No
Lyndsey,2012,UEA,female,No
Lynsey,2019,Hull,female,No
Madalyn,2019,Hull,female,No
Maddalena,2024,Bilbao,female,No
Maddi,2024,Bilbao,female,No
Madeleine,2017,Exeter,female,No
Maisie,2025,Belfast,female,No
Malcolm,1982,London,male,No
Malcolm,1993,Conwy,male,No
Malte,2023,Essex,male,No
Manabu,2009,Leicester,male,No
Mandla,2021,Leuven,female,No
Manuel,2015,Plymouth,male,No
Marc,1999,St Andrews,male,No
Marcelo,2022,Nottingham,male,No
Marcelo,2023,Essex,male,No
Marcelo,1999,St Andrews,male,No
Marcelo,2023,Essex,male,No
Marco,2012,UEA,male,No
Mareike,2015,Plymouth,female,No
Margarida,2018,UEA,female,No
Mari,2009,Leicester,female,No
Maria,2017,Exeter,female,No
Maria,2025,Belfast,female,No
Maria,2017,Exeter,female,No
Maria,2024,Bilbao,female,No
Maria,2012,UEA,female,No
Maria,2021,Leuven,female,No
Maria,2024,Bilbao,female,No
Maria,2016,Bangor,female,No
Maria,1987,Plymouth,female,No
Marie,2023,Essex,female,No
Marina,2024,Bilbao,female,No
Marine,2016,Bangor,female,No
Marion,2012,UEA,female,No
Marion,2009,Leicester,female,No
Marion,2009,Leicester,female,No
Mark,2018,UEA,male,No
Mark,2009,Leicester,male,No
Mark,2017,Exeter,male,No
Mark,2025,Belfast,male,No
Mark,1999,St Andrews,male,No
Mark,2021,Leuven,male,Yes
Mark,2015,Plymouth,male,No
Mark,2014,Hull,male,No
Marka,2016,Bangor,female,No
Marloes,2015,Plymouth,female,No
Marta,2024,Bilbao,female,No
Marta,2012,UEA,female,No
Marta,2021,Leuven,female,No
Martha,2025,Belfast,female,No
Martha,2022,Nottingham,female,No
Martin,2016,Bangor,male,No
Martin,1993,Conwy,male,No
Martin,2009,Leicester,male,No
Martin,2017,Exeter,male,No
